frame_number,landmark,x,y,z
10,LEFT_WRIST,0,0,0
10,LEFT_THUMB_CMC,0,0,0
10,LEFT_THUMB_MCP,0,0,0
10,LEFT_THUMB_IP,0,0,0
10,LEFT_THUMB_TIP,0,0,0
10,LEFT_INDEX_FINGER_MCP,0,0,0
10,LEFT_INDEX_FINGER_PIP,0,0,0
10,LEFT_INDEX_FINGER_DIP,0,0,0
10,LEFT_INDEX_FINGER_TIP,0,0,0
10,LEFT_MIDDLE_FINGER_MCP,0,0,0
10,LEFT_MIDDLE_FINGER_PIP,0,0,0
10,LEFT_MIDDLE_FINGER_DIP,0,0,0
10,LEFT_MIDDLE_FINGER_TIP,0,0,0
10,LEFT_RING_FINGER_MCP,0,0,0
10,LEFT_RING_FINGER_PIP,0,0,0
10,LEFT_RING_FINGER_DIP,0,0,0
10,LEFT_RING_FINGER_TIP,0,0,0
10,LEFT_PINKY_MCP,0,0,0
10,LEFT_PINKY_PIP,0,0,0
10,LEFT_PINKY_DIP,0,0,0
10,LEFT_PINKY_TIP,0,0,0
10,RIGHT_WRIST,0.40257272124290466,0.8820624351501465,-2.268149579265355e-08
10,RIGHT_THUMB_CMC,0.43900418281555176,0.8568257093429565,-0.0018854397349059582
10,RIGHT_THUMB_MCP,0.47527363896369934,0.8693007826805115,-0.0035676772240549326
10,RIGHT_THUMB_IP,0.4966234266757965,0.8943027257919312,-0.006108083762228489
10,RIGHT_THUMB_TIP,0.5076868534088135,0.920590341091156,-0.007461666129529476
10,RIGHT_INDEX_FINGER_MCP,0.4896406829357147,0.9297181963920593,0.000993410125374794
10,RIGHT_INDEX_FINGER_PIP,0.5157251358032227,0.9757249355316162,-0.004125060047954321
10,RIGHT_INDEX_FINGER_DIP,0.5211169123649597,0.9946281313896179,-0.008790791966021061
10,RIGHT_INDEX_FINGER_TIP,0.5203287601470947,1.0066529512405396,-0.011618503369390965
10,RIGHT_MIDDLE_FINGER_MCP,0.4781351089477539,0.9587717056274414,-0.0014653190737590194
10,RIGHT_MIDDLE_FINGER_PIP,0.5019035935401917,0.998564600944519,-0.0033685406669974327
10,RIGHT_MIDDLE_FINGER_DIP,0.5086401700973511,1.0138782262802124,-0.006286374758929014
10,RIGHT_MIDDLE_FINGER_TIP,0.5090821385383606,1.0257569551467896,-0.008966686204075813
10,RIGHT_RING_FINGER_MCP,0.46334517002105713,0.9811298847198486,-0.004634205251932144
10,RIGHT_RING_FINGER_PIP,0.48701193928718567,1.019757866859436,-0.00667926948517561
10,RIGHT_RING_FINGER_DIP,0.4930412769317627,1.0335170030593872,-0.004900844767689705
10,RIGHT_RING_FINGER_TIP,0.493028849363327,1.0419859886169434,-0.0036592886317521334
10,RIGHT_PINKY_MCP,0.4477697014808655,0.997731626033783,-0.008321784436702728
10,RIGHT_PINKY_PIP,0.4656619727611542,1.0358412265777588,-0.008249679580330849
10,RIGHT_PINKY_DIP,0.4733882248401642,1.051314115524292,-0.0041157836094498634
10,RIGHT_PINKY_TIP,0.47643351554870605,1.060425877571106,-0.0006317432853393257
10,LEFT_EYE_INNER,0.5167812705039978,0.25069764256477356,-0.7212372422218323
10,LEFT_EYE,0.526312530040741,0.2506166696548462,-0.721325159072876
10,LEFT_EYE_OUTER,0.5357881188392639,0.2508414089679718,-0.7211816310882568
10,RIGHT_EYE_INNER,0.4825930595397949,0.25240859389305115,-0.7221032381057739
10,RIGHT_EYE,0.47090262174606323,0.2529507875442505,-0.7222992777824402
10,RIGHT_EYE_OUTER,0.46035701036453247,0.2536785900592804,-0.7227431535720825
10,LEFT_EAR,0.5516954660415649,0.2710001766681671,-0.4914930462837219
10,RIGHT_EAR,0.45160332322120667,0.27228638529777527,-0.4929569661617279
10,MOUTH_LEFT,0.5165401697158813,0.3449871838092804,-0.6614763736724854
10,MOUTH_RIGHT,0.47586601972579956,0.34559720754623413,-0.6624987721443176
10,LEFT_SHOULDER,0.6221104860305786,0.539752721786499,-0.327785462141037
10,RIGHT_SHOULDER,0.37736862897872925,0.5295858979225159,-0.33574938774108887
10,LEFT_ELBOW,0.6348730325698853,0.8854331374168396,-0.3446994721889496
10,RIGHT_ELBOW,0.3459720313549042,0.8559154272079468,-0.4206163287162781
10,LEFT_WRIST,0.5850915312767029,1.0601352453231812,-0.5889756083488464
10,RIGHT_WRIST,0.4333820343017578,0.9133109450340271,-0.7948328256607056
10,LEFT_PINKY,0.5828006267547607,1.1595243215560913,-0.660903811454773
10,RIGHT_PINKY,0.4544709324836731,0.9755953550338745,-0.8776639699935913
10,LEFT_INDEX,0.5589404702186584,1.102487325668335,-0.6979933381080627
10,RIGHT_INDEX,0.47317370772361755,0.9405204057693481,-0.8887127637863159
10,LEFT_THUMB,0.551011323928833,1.0544285774230957,-0.6086680293083191
10,RIGHT_THUMB,0.4660119116306305,0.9130628108978271,-0.8049147725105286
10,LEFT_HIP,0.5822767615318298,1.0782053470611572,-0.015964319929480553
10,RIGHT_HIP,0.43597903847694397,1.0722153186798096,0.017029162496328354
11,LEFT_WRIST,0,0,0
11,LEFT_THUMB_CMC,0,0,0
11,LEFT_THUMB_MCP,0,0,0
11,LEFT_THUMB_IP,0,0,0
11,LEFT_THUMB_TIP,0,0,0
11,LEFT_INDEX_FINGER_MCP,0,0,0
11,LEFT_INDEX_FINGER_PIP,0,0,0
11,LEFT_INDEX_FINGER_DIP,0,0,0
11,LEFT_INDEX_FINGER_TIP,0,0,0
11,LEFT_MIDDLE_FINGER_MCP,0,0,0
11,LEFT_MIDDLE_FINGER_PIP,0,0,0
11,LEFT_MIDDLE_FINGER_DIP,0,0,0
11,LEFT_MIDDLE_FINGER_TIP,0,0,0
11,LEFT_RING_FINGER_MCP,0,0,0
11,LEFT_RING_FINGER_PIP,0,0,0
11,LEFT_RING_FINGER_DIP,0,0,0
11,LEFT_RING_FINGER_TIP,0,0,0
11,LEFT_PINKY_MCP,0,0,0
11,LEFT_PINKY_PIP,0,0,0
11,LEFT_PINKY_DIP,0,0,0
11,LEFT_PINKY_TIP,0,0,0
11,RIGHT_WRIST,0.3996456265449524,0.815402090549469,8.520554928281854e-08
11,RIGHT_THUMB_CMC,0.4395683705806732,0.8131482005119324,0.0040976437740027905
11,RIGHT_THUMB_MCP,0.4779939651489258,0.8527011275291443,0.001328865299001336
11,RIGHT_THUMB_IP,0.5017355680465698,0.8967772722244263,-0.002111959271132946
11,RIGHT_THUMB_TIP,0.5157601237297058,0.9313874840736389,-0.005064140539616346
11,RIGHT_INDEX_FINGER_MCP,0.48258107900619507,0.8439104557037354,-0.01179086696356535
11,RIGHT_INDEX_FINGER_PIP,0.5119132399559021,0.8907168507575989,-0.01886620931327343
11,RIGHT_INDEX_FINGER_DIP,0.523076057434082,0.9196040034294128,-0.021376976743340492
11,RIGHT_INDEX_FINGER_TIP,0.527420699596405,0.9415069818496704,-0.02245299331843853
11,RIGHT_MIDDLE_FINGER_MCP,0.46856868267059326,0.8608006238937378,-0.01820351369678974
11,RIGHT_MIDDLE_FINGER_PIP,0.49855923652648926,0.9089633226394653,-0.023029504343867302
11,RIGHT_MIDDLE_FINGER_DIP,0.5107316374778748,0.9353603720664978,-0.023151924833655357
11,RIGHT_MIDDLE_FINGER_TIP,0.5170627236366272,0.9539567232131958,-0.02396460436284542
11,RIGHT_RING_FINGER_MCP,0.4515969455242157,0.882291316986084,-0.023558074608445168
11,RIGHT_RING_FINGER_PIP,0.48100292682647705,0.9305756092071533,-0.026821326464414597
11,RIGHT_RING_FINGER_DIP,0.49042239785194397,0.9490759372711182,-0.02271292731165886
11,RIGHT_RING_FINGER_TIP,0.49468693137168884,0.9598591327667236,-0.020236240699887276
11,RIGHT_PINKY_MCP,0.433951735496521,0.9050891399383545,-0.028583267703652382
11,RIGHT_PINKY_PIP,0.4584033191204071,0.9462228417396545,-0.028283989056944847
11,RIGHT_PINKY_DIP,0.46623173356056213,0.9601845741271973,-0.022979263216257095
11,RIGHT_PINKY_TIP,0.468782901763916,0.9660826921463013,-0.01936318725347519
11,LEFT_EYE_INNER,0.5167651176452637,0.25014784932136536,-0.7234137654304504
11,LEFT_EYE,0.5262839198112488,0.25016069412231445,-0.7234421968460083
11,LEFT_EYE_OUTER,0.5356761813163757,0.250442773103714,-0.7233127355575562
11,RIGHT_EYE_INNER,0.4825809895992279,0.2516644299030304,-0.7232763767242432
11,RIGHT_EYE,0.470886766910553,0.25218021869659424,-0.7233710885047913
11,RIGHT_EYE_OUTER,0.46034902334213257,0.25287947058677673,-0.7237711548805237
11,LEFT_EAR,0.5516027808189392,0.2709001302719116,-0.4907766282558441
